,0,1,2,3,4,5,6,7,8
0,MMM,3M,Industrials,Industrial Conglomerates,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.022, 'neu': 0.724, 'pos': 0.253, 'compound': 1.0}",1
1,AOS,A. O. Smith,Industrials,Building Products,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.029, 'neu': 0.752, 'pos': 0.22, 'compound': 1.0}",1
2,ABT,Abbott,Health Care,Health Care Equipment,QQ1,2024,2024-04-17 12:05:26,"{'neg': 0.029, 'neu': 0.71, 'pos': 0.261, 'compound': 1.0}",1
3,ABBV,AbbVie,Health Care,Biotechnology,QQ1,2024,2024-04-26 13:25:32,"{'neg': 0.034, 'neu': 0.743, 'pos': 0.223, 'compound': 1.0}",1
4,ACN,Accenture,Information Technology,IT Consulting & Other Services,QQ1,2024,2023-12-19 11:51:05,"{'neg': 0.019, 'neu': 0.73, 'pos': 0.251, 'compound': 1.0}",1
5,ADBE,Adobe Inc.,Information Technology,Application Software,QQ1,2024,2024-03-14 21:44:09,"{'neg': 0.012, 'neu': 0.738, 'pos': 0.249, 'compound': 1.0}",1
6,AMD,Advanced Micro Devices,Information Technology,Semiconductors,QQ1,2024,2024-04-30 00:00:00,"{'neg': 0.03, 'neu': 0.748, 'pos': 0.222, 'compound': 1.0}",1
7,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,QQ1,2024,2024-05-03 13:25:18,"{'neg': 0.026, 'neu': 0.76, 'pos': 0.214, 'compound': 1.0}",1
8,AFL,Aflac,Financials,Life & Health Insurance,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.047, 'neu': 0.728, 'pos': 0.224, 'compound': 1.0}",1
9,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,QQ1,2024,2024-02-27 21:36:10,"{'neg': 0.019, 'neu': 0.732, 'pos': 0.249, 'compound': 1.0}",1
10,APD,Air Products and Chemicals,Materials,Industrial Gases,QQ1,2024,2024-02-05 12:34:03,"{'neg': 0.041, 'neu': 0.71, 'pos': 0.249, 'compound': 1.0}",1
11,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",QQ1,2024,2024-05-08 18:48:07,"{'neg': 0.024, 'neu': 0.743, 'pos': 0.234, 'compound': 1.0}",1
12,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,QQ1,2024,2024-05-09 19:52:12,"{'neg': 0.035, 'neu': 0.728, 'pos': 0.238, 'compound': 1.0}",1
13,ALB,Albemarle Corporation,Materials,Specialty Chemicals,QQ1,2024,2024-05-02 13:19:09,"{'neg': 0.029, 'neu': 0.777, 'pos': 0.194, 'compound': 1.0}",1
14,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,QQ1,2024,2024-04-23 19:45:22,"{'neg': 0.034, 'neu': 0.738, 'pos': 0.229, 'compound': 1.0}",1
15,ALGN,Align Technology,Health Care,Health Care Supplies,QQ1,2024,2024-04-24 00:00:00,"{'neg': 0.017, 'neu': 0.758, 'pos': 0.225, 'compound': 1.0}",1
16,ALLE,Allegion,Industrials,Building Products,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.027, 'neu': 0.738, 'pos': 0.235, 'compound': 0.9999}",1
17,LNT,Alliant Energy,Utilities,Electric Utilities,QQ1,2024,2024-05-03 00:00:00,"{'neg': 0.015, 'neu': 0.699, 'pos': 0.286, 'compound': 1.0}",1
18,ALL,Allstate,Financials,Property & Casualty Insurance,QQ1,2024,2024-05-02 00:00:00,"{'neg': 0.044, 'neu': 0.713, 'pos': 0.243, 'compound': 1.0}",1
19,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.011, 'neu': 0.754, 'pos': 0.234, 'compound': 1.0}",1
20,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,QQ1,2024,2024-04-25 00:00:00,"{'neg': 0.011, 'neu': 0.754, 'pos': 0.234, 'compound': 1.0}",1
