ticker,company,sector,sub-sector,quarter,year,date,score-neg,score-neu,score-pos,score-compound
MMM,3M,Industrials,Industrial Conglomerates,Q1,2012,2012-04-24 17:00:00,0.019,0.711,0.27,1.0
AOS,A. O. Smith,Industrials,Building Products,Q1,2012,2012-04-20 00:00:00,0.024,0.78,0.196,1.0
ABT,Abbott,Health Care,Health Care Equipment,Q1,2012,2012-04-18 17:00:00,0.03,0.743,0.227,1.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,Q1,2012,2011-12-15 20:40:07,0.027,0.765,0.208,1.0
ADBE,Adobe Inc.,Information Technology,Application Software,Q1,2012,2012-03-19 21:00:33,0.015,0.774,0.212,1.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Q1,2012,2011-07-20 20:30:08,0.035,0.779,0.186,0.9999
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Q1,2012,2012-05-04 14:10:03,0.028,0.8,0.172,1.0
AFL,Aflac,Financials,Life & Health Insurance,Q1,2012,2012-04-25 14:20:24,0.028,0.76,0.212,1.0
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Q1,2012,2012-02-15 22:30:07,0.027,0.788,0.185,1.0
APD,Air Products and Chemicals,Materials,Industrial Gases,Q1,2012,2012-01-24 14:30:04,0.039,0.776,0.185,1.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,Q1,2012,2012-04-25 21:10:08,0.035,0.768,0.197,1.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Q1,2012,2012-04-19 10:58:01,0.029,0.728,0.244,1.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Q1,2012,2012-05-02 21:33:04,0.027,0.77,0.203,1.0
ALGN,Align Technology,Health Care,Health Care Supplies,Q1,2012,2012-04-23 00:00:00,0.028,0.739,0.233,1.0
LNT,Alliant Energy,Utilities,Electric Utilities,Q1,2012,2012-05-04 14:48:03,0.02,0.777,0.203,1.0
ALL,Allstate,Financials,Property & Casualty Insurance,Q1,2012,2012-05-03 15:10:08,0.042,0.762,0.196,1.0
