ticker,company,sector,sub-sector,quarter,year,date,sentiment scores,compiled sentiment
MMM,3M,Industrials,Industrial Conglomerates,QQ1,2024,4/30/2024 0:00,"{'neg': 0.022, 'neu': 0.724, 'pos': 0.253, 'compound': 1.0}",1
AOS,A. O. Smith,Industrials,Building Products,QQ1,2024,4/25/2024 0:00,"{'neg': 0.029, 'neu': 0.752, 'pos': 0.22, 'compound': 1.0}",1
ABT,Abbott,Health Care,Health Care Equipment,QQ1,2024,4/17/2024 12:05,"{'neg': 0.029, 'neu': 0.71, 'pos': 0.261, 'compound': 1.0}",1
ABBV,AbbVie,Health Care,Biotechnology,QQ1,2024,4/26/2024 13:25,"{'neg': 0.034, 'neu': 0.743, 'pos': 0.223, 'compound': 1.0}",1
ACN,Accenture,Information Technology,IT Consulting & Other Services,QQ1,2024,12/19/2023 11:51,"{'neg': 0.019, 'neu': 0.73, 'pos': 0.251, 'compound': 1.0}",1
ADBE,Adobe Inc.,Information Technology,Application Software,QQ1,2024,3/14/2024 21:44,"{'neg': 0.012, 'neu': 0.738, 'pos': 0.249, 'compound': 1.0}",1
AMD,Advanced Micro Devices,Information Technology,Semiconductors,QQ1,2024,4/30/2024 0:00,"{'neg': 0.03, 'neu': 0.748, 'pos': 0.222, 'compound': 1.0}",1
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,QQ1,2024,5/3/2024 13:25,"{'neg': 0.026, 'neu': 0.76, 'pos': 0.214, 'compound': 1.0}",1
AFL,Aflac,Financials,Life & Health Insurance,QQ1,2024,5/2/2024 0:00,"{'neg': 0.047, 'neu': 0.728, 'pos': 0.224, 'compound': 1.0}",1
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,QQ1,2024,2/27/2024 21:36,"{'neg': 0.019, 'neu': 0.732, 'pos': 0.249, 'compound': 1.0}",1
APD,Air Products and Chemicals,Materials,Industrial Gases,QQ1,2024,2/5/2024 12:34,"{'neg': 0.041, 'neu': 0.71, 'pos': 0.249, 'compound': 1.0}",1
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",QQ1,2024,5/8/2024 18:48,"{'neg': 0.024, 'neu': 0.743, 'pos': 0.234, 'compound': 1.0}",1
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,QQ1,2024,5/9/2024 19:52,"{'neg': 0.035, 'neu': 0.728, 'pos': 0.238, 'compound': 1.0}",1
ALB,Albemarle Corporation,Materials,Specialty Chemicals,QQ1,2024,5/2/2024 13:19,"{'neg': 0.029, 'neu': 0.777, 'pos': 0.194, 'compound': 1.0}",1
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,QQ1,2024,4/23/2024 19:45,"{'neg': 0.034, 'neu': 0.738, 'pos': 0.229, 'compound': 1.0}",1
ALGN,Align Technology,Health Care,Health Care Supplies,QQ1,2024,4/24/2024 0:00,"{'neg': 0.017, 'neu': 0.758, 'pos': 0.225, 'compound': 1.0}",1
ALLE,Allegion,Industrials,Building Products,QQ1,2024,4/25/2024 0:00,"{'neg': 0.027, 'neu': 0.738, 'pos': 0.235, 'compound': 0.9999}",1
LNT,Alliant Energy,Utilities,Electric Utilities,QQ1,2024,5/3/2024 0:00,"{'neg': 0.015, 'neu': 0.699, 'pos': 0.286, 'compound': 1.0}",1
ALL,Allstate,Financials,Property & Casualty Insurance,QQ1,2024,5/2/2024 0:00,"{'neg': 0.044, 'neu': 0.713, 'pos': 0.243, 'compound': 1.0}",1
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,QQ1,2024,4/25/2024 0:00,"{'neg': 0.011, 'neu': 0.754, 'pos': 0.234, 'compound': 1.0}",1
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,QQ1,2024,4/25/2024 0:00,"{'neg': 0.011, 'neu': 0.754, 'pos': 0.234, 'compound': 1.0}",1
MO,Altria,Consumer Staples,Tobacco,QQ1,2024,4/25/2024 0:00,"{'neg': 0.041, 'neu': 0.761, 'pos': 0.198, 'compound': 1.0}",1
AMZN,Amazon,Consumer Discretionary,Broadline Retail,QQ1,2024,4/30/2024 0:00,"{'neg': 0.023, 'neu': 0.749, 'pos': 0.228, 'compound': 1.0}",1
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,QQ1,2024,10/31/2023 23:09,"{'neg': 0.035, 'neu': 0.747, 'pos': 0.218, 'compound': 1.0}",1
AEE,Ameren,Utilities,Multi-Utilities,QQ1,2024,5/3/2024 13:43,"{'neg': 0.014, 'neu': 0.755, 'pos': 0.231, 'compound': 1.0}",1
